{'S1': 0, 'S2': 0, 'V1': 0, 'V2': 0}
{'S1': 0, 'S2': 0, 'V1': 0, 'V2': 0}
{'S1': 0, 'S2': 0, 'V1': 0, 'V2': 0}
{'S1': 0, 'S2': 0, 'V1': 0, 'V2': 0}
{'S1': 0, 'S2': 0, 'V1': 0, 'V2': 0}
{'S1': 0, 'S2': 0, 'V1': 0, 'V2': 0}
{'S1': 0, 'S2': 0, 'V1': 0, 'V2': 0}
{'S1': 0, 'S2': 0, 'V1': 0, 'V2': 0}
{'S1': 0, 'S2': 0, 'V1': 0, 'V2': 0}
{'S1': 0, 'S2': 0, 'V1': 0, 'V2': 0}
{'S1': 0, 'S2': 0, 'V1': 0, 'V2': 0}
{'S1': 0, 'S2': 0, 'V1': 0, 'V2': 0}
{'S1': 0, 'S2': 0, 'V1': 0, 'V2': 0}
{'S1': 0, 'S2': 0, 'V1': 0, 'V2': 0}
{'S1': 0, 'S2': 0, 'V1': 0, 'V2': 0}
{'S1': 0, 'S2': 0, 'V1': 0, 'V2': 0}
{'S1': 0, 'S2': 0, 'V1': 0, 'V2': 0}
{'S1': 0, 'S2': 0, 'V1': 0, 'V2': 0}
{'S1': 0, 'S2': 1, 'V1': 0, 'V2': 0}
{'S1': 0, 'S2': 1, 'V1': 0, 'V2': 0}
{'S1': 0, 'S2': 1, 'V1': 0, 'V2': 0}
{'S1': 0, 'S2': 1, 'V1': 0, 'V2': 0}
{'S1': 1, 'S2': 1, 'V1': 0, 'V2': 0}
{'S1': 1, 'S2': 1, 'V1': 0, 'V2': 0}
{'S1': 1, 'S2': 1, 'V1': 0, 'V2': 0}
{'S1': 1, 'S2': 1, 'V1': 0, 'V2': 0}
{'S1': 1, 'S2': 1, 'V1': 0, 'V2': 0}
{'S1': 1, 'S2': 1, 'V1': 0, 'V2': 0}
{'S1': 1, 'S2': 1, 'V1': 0, 'V2': 0}
{'S1': 1, 'S2': 1, 'V1': 0, 'V2': 0}
{'S1': 1, 'S2': 1, 'V1': 0, 'V2': 0}
{'S1': 1, 'S2': 1, 'V1': 0, 'V2': 0}
{'S1': 1, 'S2': 1, 'V1': 0, 'V2': 0}
{'S1': 1, 'S2': 1, 'V1': 0, 'V2': 0}
{'S1': 1, 'S2': 1, 'V1': 0, 'V2': 0}
{'S1': 1, 'S2': 1, 'V1': 0, 'V2': 0}
{'S1': 1, 'S2': 1, 'V1': 0, 'V2': 0}
{'S1': 1, 'S2': 1, 'V1': 0, 'V2': 0}
{'S1': 1, 'S2': 1, 'V1': 0, 'V2': 0}
{'S1': 1, 'S2': 1, 'V1': 0, 'V2': 0}
{'S1': 1, 'S2': 1, 'V1': 0, 'V2': 0}
{'S1': 1, 'S2': 1, 'V1': 0, 'V2': 0}
{'S1': 1, 'S2': 1, 'V1': 0, 'V2': 0}
{'S1': 1, 'S2': 1, 'V1': 0, 'V2': 0}
{'S1': 1, 'S2': 1, 'V1': 0, 'V2': 0}
{'S1': 1, 'S2': 1, 'V1': 0, 'V2': 0}
{'S1': 1, 'S2': 2, 'V1': 0, 'V2': 0}
{'S1': 1, 'S2': 2, 'V1': 0, 'V2': 0}
{'S1': 1, 'S2': 2, 'V1': 0, 'V2': 0}
{'S1': 1, 'S2': 2, 'V1': 0, 'V2': 0}
{'S1': 1, 'S2': 2, 'V1': 0, 'V2': 0}
{'S1': 2, 'S2': 2, 'V1': 0, 'V2': 0}
{'S1': 2, 'S2': 2, 'V1': 0, 'V2': 0}
{'S1': 2, 'S2': 2, 'V1': 0, 'V2': 0}
{'S1': 2, 'S2': 2, 'V1': 0, 'V2': 0}
{'S1': 2, 'S2': 2, 'V1': 0, 'V2': 0}
{'S1': 2, 'S2': 2, 'V1': 0, 'V2': 0}
{'S1': 2, 'S2': 2, 'V1': 0, 'V2': 0}
{'S1': 2, 'S2': 2, 'V1': 0, 'V2': 0}
{'S1': 2, 'S2': 2, 'V1': 0, 'V2': 0}
{'S1': 2, 'S2': 2, 'V1': 0, 'V2': 0}
{'S1': 2, 'S2': 2, 'V1': 0, 'V2': 0}
{'S1': 2, 'S2': 2, 'V1': 0, 'V2': 0}
{'S1': 2, 'S2': 2, 'V1': 0, 'V2': 0}
{'S1': 2, 'S2': 2, 'V1': 0, 'V2': 0}
{'S1': 2, 'S2': 2, 'V1': 0, 'V2': 0}
{'S1': 2, 'S2': 2, 'V1': 0, 'V2': 0}
{'S1': 2, 'S2': 2, 'V1': 0, 'V2': 0}
{'S1': 2, 'S2': 2, 'V1': 0, 'V2': 0}
{'S1': 2, 'S2': 2, 'V1': 0, 'V2': 0}
{'S1': 2, 'S2': 2, 'V1': 0, 'V2': 0}
{'S1': 2, 'S2': 2, 'V1': 0, 'V2': 0}
{'S1': 2, 'S2': 2, 'V1': 0, 'V2': 0}
{'S1': 2, 'S2': 2, 'V1': 0, 'V2': 0}
{'S1': 2, 'S2': 2, 'V1': 0, 'V2': 0}
{'S1': 2, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 2, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 2, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 2, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 2, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 3, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 4, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 4, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 4, 'V1': 0, 'V2': 0}
{'S1': 3, 'S2': 4, 'V1': 0, 'V2': 0}
{'S1': 4, 'S2': 4, 'V1': 0, 'V2': 0}
{'S1': 4, 'S2': 4, 'V1': 0, 'V2': 0}
{'S1': 4, 'S2': 4, 'V1': 0, 'V2': 0}
{'S1': 4, 'S2': 4, 'V1': 0, 'V2': 0}
{'S1': 4, 'S2': 4, 'V1': 0, 'V2': 0}
{'S1': 4, 'S2': 4, 'V1': 0, 'V2': 0}
{'S1': 4, 'S2': 4, 'V1': 0, 'V2': 0}
{'S1': 4, 'S2': 4, 'V1': 0, 'V2': 0}
{'S1': 4, 'S2': 4, 'V1': 0, 'V2': 0}
{'S1': 4, 'S2': 4, 'V1': 0, 'V2': 0}
{'S1': 4, 'S2': 4, 'V1': 0, 'V2': 0}
{'S1': 4, 'S2': 4, 'V1': 0, 'V2': 0}
{'S1': 4, 'S2': 4, 'V1': 0, 'V2': 0}
{'S1': 4, 'S2': 4, 'V1': 0, 'V2': 0}
{'S1': 4, 'S2': 4, 'V1': 0, 'V2': 0}
{'S1': 4, 'S2': 4, 'V1': 0, 'V2': 0}
{'S1': 4, 'S2': 4, 'V1': 0, 'V2': 0}
{'S1': 4, 'S2': 4, 'V1': 0, 'V2': 0}
{'S1': 4, 'S2': 4, 'V1': 0, 'V2': 0}
{'S1': 4, 'S2': 4, 'V1': 0, 'V2': 0}
{'S1': 4, 'S2': 4, 'V1': 0, 'V2': 0}
{'S1': 4, 'S2': 4, 'V1': 0, 'V2': 0}
{'S1': 4, 'S2': 4, 'V1': 0, 'V2': 0}
{'S1': 4, 'S2': 4, 'V1': 0, 'V2': 0}
{'S1': 4, 'S2': 4, 'V1': 0, 'V2': 0}
{'S1': 4, 'S2': 5, 'V1': 0, 'V2': 0}
{'S1': 4, 'S2': 5, 'V1': 0, 'V2': 0}
{'S1': 4, 'S2': 5, 'V1': 0, 'V2': 0}
{'S1': 5, 'S2': 5, 'V1': 0, 'V2': 0}
{'S1': 5, 'S2': 5, 'V1': 0, 'V2': 0}
{'S1': 5, 'S2': 5, 'V1': 0, 'V2': 0}
{'S1': 5, 'S2': 5, 'V1': 0, 'V2': 0}
{'S1': 5, 'S2': 5, 'V1': 0, 'V2': 0}
{'S1': 5, 'S2': 5, 'V1': 0, 'V2': 0}
{'S1': 5, 'S2': 5, 'V1': 0, 'V2': 0}
{'S1': 5, 'S2': 5, 'V1': 0, 'V2': 0}
{'S1': 5, 'S2': 5, 'V1': 0, 'V2': 0}
{'S1': 5, 'S2': 5, 'V1': 0, 'V2': 0}
{'S1': 5, 'S2': 5, 'V1': 0, 'V2': 0}
{'S1': 5, 'S2': 5, 'V1': 0, 'V2': 0}
{'S1': 5, 'S2': 5, 'V1': 0, 'V2': 0}
{'S1': 5, 'S2': 5, 'V1': 0, 'V2': 0}
{'S1': 5, 'S2': 5, 'V1': 0, 'V2': 0}
{'S1': 5, 'S2': 5, 'V1': 0, 'V2': 0}
{'S1': 5, 'S2': 5, 'V1': 0, 'V2': 0}
{'S1': 5, 'S2': 5, 'V1': 0, 'V2': 0}
{'S1': 5, 'S2': 5, 'V1': 0, 'V2': 0}
{'S1': 5, 'S2': 5, 'V1': 0, 'V2': 0}
{'S1': 5, 'S2': 5, 'V1': 0, 'V2': 0}
{'S1': 5, 'S2': 5, 'V1': 0, 'V2': 0}
{'S1': 5, 'S2': 5, 'V1': 0, 'V2': 0}
{'S1': 5, 'S2': 5, 'V1': 0, 'V2': 0}
{'S1': 5, 'S2': 5, 'V1': 0, 'V2': 0}
{'S1': 5, 'S2': 5, 'V1': 0, 'V2': 0}
{'S1': 5, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 5, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 5, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 6, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 7, 'V1': 0, 'V2': 0}
{'S1': 6, 'S2': 7, 'V1': 0, 'V2': 0}
{'S1': 7, 'S2': 7, 'V1': 0, 'V2': 0}
{'S1': 7, 'S2': 7, 'V1': 0, 'V2': 0}
{'S1': 7, 'S2': 7, 'V1': 0, 'V2': 0}
{'S1': 7, 'S2': 7, 'V1': 0, 'V2': 0}
{'S1': 7, 'S2': 7, 'V1': 0, 'V2': 0}
{'S1': 7, 'S2': 7, 'V1': 0, 'V2': 0}
{'S1': 7, 'S2': 7, 'V1': 0, 'V2': 0}
{'S1': 7, 'S2': 7, 'V1': 0, 'V2': 0}
{'S1': 7, 'S2': 7, 'V1': 0, 'V2': 0}
{'S1': 7, 'S2': 7, 'V1': 0, 'V2': 0}
{'S1': 7, 'S2': 7, 'V1': 0, 'V2': 0}
{'S1': 7, 'S2': 7, 'V1': 0, 'V2': 0}
{'S1': 7, 'S2': 7, 'V1': 0, 'V2': 0}
{'S1': 7, 'S2': 7, 'V1': 0, 'V2': 0}
{'S1': 7, 'S2': 7, 'V1': 0, 'V2': 0}
{'S1': 7, 'S2': 7, 'V1': 0, 'V2': 0}
{'S1': 7, 'S2': 7, 'V1': 0, 'V2': 0}
{'S1': 7, 'S2': 7, 'V1': 0, 'V2': 0}
{'S1': 7, 'S2': 7, 'V1': 0, 'V2': 0}
{'S1': 7, 'S2': 7, 'V1': 0, 'V2': 0}
{'S1': 7, 'S2': 7, 'V1': 0, 'V2': 0}
{'S1': 7, 'S2': 7, 'V1': 0, 'V2': 0}
{'S1': 7, 'S2': 7, 'V1': 0, 'V2': 0}
{'S1': 7, 'S2': 7, 'V1': 0, 'V2': 0}
{'S1': 7, 'S2': 7, 'V1': 0, 'V2': 0}
{'S1': 7, 'S2': 7, 'V1': 0, 'V2': 0}
{'S1': 7, 'S2': 7, 'V1': 0, 'V2': 0}
{'S1': 7, 'S2': 8, 'V1': 0, 'V2': 0}
{'S1': 8, 'S2': 8, 'V1': 0, 'V2': 0}
{'S1': 8, 'S2': 8, 'V1': 0, 'V2': 0}
{'S1': 8, 'S2': 8, 'V1': 0, 'V2': 0}
{'S1': 8, 'S2': 8, 'V1': 0, 'V2': 0}
{'S1': 8, 'S2': 8, 'V1': 0, 'V2': 0}
{'S1': 8, 'S2': 8, 'V1': 0, 'V2': 0}
{'S1': 8, 'S2': 8, 'V1': 0, 'V2': 0}
{'S1': 8, 'S2': 8, 'V1': 0, 'V2': 0}
{'S1': 8, 'S2': 8, 'V1': 0, 'V2': 0}
{'S1': 8, 'S2': 8, 'V1': 0, 'V2': 0}
{'S1': 8, 'S2': 8, 'V1': 0, 'V2': 0}
{'S1': 8, 'S2': 8, 'V1': 0, 'V2': 0}
{'S1': 8, 'S2': 8, 'V1': 0, 'V2': 0}
{'S1': 8, 'S2': 8, 'V1': 0, 'V2': 0}
{'S1': 8, 'S2': 8, 'V1': 0, 'V2': 0}
{'S1': 8, 'S2': 8, 'V1': 0, 'V2': 0}
{'S1': 8, 'S2': 8, 'V1': 0, 'V2': 0}
{'S1': 8, 'S2': 8, 'V1': 0, 'V2': 0}
{'S1': 8, 'S2': 8, 'V1': 0, 'V2': 0}
{'S1': 8, 'S2': 8, 'V1': 0, 'V2': 0}
{'S1': 8, 'S2': 8, 'V1': 0, 'V2': 0}
{'S1': 8, 'S2': 8, 'V1': 0, 'V2': 0}
{'S1': 8, 'S2': 8, 'V1': 0, 'V2': 0}
{'S1': 8, 'S2': 8, 'V1': 0, 'V2': 0}
{'S1': 8, 'S2': 8, 'V1': 0, 'V2': 0}
{'S1': 8, 'S2': 8, 'V1': 0, 'V2': 0}
{'S1': 8, 'S2': 8, 'V1': 480, 'V2': 480}
{'S1': 8, 'S2': 9, 'V1': 480, 'V2': 480}
{'S1': 8, 'S2': 9, 'V1': 480, 'V2': 480}
{'S1': 9, 'S2': 9, 'V1': 480, 'V2': 480}
{'S1': 9, 'S2': 9, 'V1': 480, 'V2': 480}
{'S1': 9, 'S2': 9, 'V1': 480, 'V2': 480}
{'S1': 9, 'S2': 9, 'V1': 480, 'V2': 480}
{'S1': 9, 'S2': 9, 'V1': 480, 'V2': 480}
{'S1': 9, 'S2': 9, 'V1': 480, 'V2': 480}
{'S1': 9, 'S2': 9, 'V1': 480, 'V2': 480}
{'S1': 9, 'S2': 9, 'V1': 480, 'V2': 480}
{'S1': 9, 'S2': 9, 'V1': 480, 'V2': 480}
{'S1': 9, 'S2': 9, 'V1': 480, 'V2': 480}
{'S1': 9, 'S2': 9, 'V1': 480, 'V2': 480}
{'S1': 9, 'S2': 9, 'V1': 480, 'V2': 480}
{'S1': 9, 'S2': 9, 'V1': 480, 'V2': 480}
{'S1': 9, 'S2': 9, 'V1': 480, 'V2': 480}
{'S1': 9, 'S2': 9, 'V1': 480, 'V2': 480}
{'S1': 9, 'S2': 9, 'V1': 480, 'V2': 480}
{'S1': 9, 'S2': 9, 'V1': 480, 'V2': 480}
{'S1': 9, 'S2': 9, 'V1': 480, 'V2': 480}
{'S1': 9, 'S2': 9, 'V1': 480, 'V2': 480}
{'S1': 9, 'S2': 9, 'V1': 480, 'V2': 480}
{'S1': 9, 'S2': 9, 'V1': 480, 'V2': 480}
{'S1': 9, 'S2': 9, 'V1': 480, 'V2': 480}
{'S1': 9, 'S2': 9, 'V1': 480, 'V2': 480}
{'S1': 9, 'S2': 9, 'V1': 480, 'V2': 480}
{'S1': 9, 'S2': 9, 'V1': 480, 'V2': 480}
{'S1': 9, 'S2': 9, 'V1': 480, 'V2': 480}
{'S1': 9, 'S2': 9, 'V1': 480, 'V2': 480}
{'S1': 9, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 10, 'S2': 10, 'V1': 480, 'V2': 480}
{'S1': 11, 'S2': 11, 'V1': 480, 'V2': 480}
{'S1': 11, 'S2': 11, 'V1': 480, 'V2': 480}
{'S1': 11, 'S2': 11, 'V1': 480, 'V2': 480}
{'S1': 11, 'S2': 11, 'V1': 480, 'V2': 480}
{'S1': 11, 'S2': 11, 'V1': 480, 'V2': 480}
{'S1': 11, 'S2': 11, 'V1': 480, 'V2': 480}
{'S1': 11, 'S2': 11, 'V1': 480, 'V2': 480}
{'S1': 11, 'S2': 11, 'V1': 480, 'V2': 480}
{'S1': 11, 'S2': 11, 'V1': 480, 'V2': 480}
{'S1': 11, 'S2': 11, 'V1': 480, 'V2': 480}
{'S1': 11, 'S2': 11, 'V1': 480, 'V2': 480}
{'S1': 11, 'S2': 11, 'V1': 480, 'V2': 480}
{'S1': 11, 'S2': 11, 'V1': 480, 'V2': 480}
{'S1': 11, 'S2': 11, 'V1': 480, 'V2': 480}
{'S1': 11, 'S2': 11, 'V1': 480, 'V2': 480}
{'S1': 11, 'S2': 11, 'V1': 480, 'V2': 480}
{'S1': 11, 'S2': 11, 'V1': 480, 'V2': 480}
{'S1': 11, 'S2': 11, 'V1': 480, 'V2': 480}
{'S1': 11, 'S2': 11, 'V1': 480, 'V2': 480}
{'S1': 11, 'S2': 11, 'V1': 480, 'V2': 480}
{'S1': 11, 'S2': 11, 'V1': 480, 'V2': 480}
{'S1': 11, 'S2': 11, 'V1': 480, 'V2': 480}
{'S1': 11, 'S2': 11, 'V1': 480, 'V2': 480}
{'S1': 11, 'S2': 11, 'V1': 480, 'V2': 480}
{'S1': 11, 'S2': 11, 'V1': 480, 'V2': 480}
{'S1': 11, 'S2': 11, 'V1': 480, 'V2': 480}
{'S1': 11, 'S2': 11, 'V1': 480, 'V2': 480}
{'S1': 11, 'S2': 11, 'V1': 480, 'V2': 480}
{'S1': 11, 'S2': 11, 'V1': 480, 'V2': 480}
{'S1': 12, 'S2': 12, 'V1': 480, 'V2': 480}
{'S1': 12, 'S2': 12, 'V1': 480, 'V2': 480}
{'S1': 12, 'S2': 12, 'V1': 480, 'V2': 480}
{'S1': 12, 'S2': 12, 'V1': 480, 'V2': 480}
{'S1': 12, 'S2': 12, 'V1': 480, 'V2': 480}
{'S1': 12, 'S2': 12, 'V1': 480, 'V2': 480}
{'S1': 12, 'S2': 12, 'V1': 480, 'V2': 480}
{'S1': 12, 'S2': 12, 'V1': 480, 'V2': 480}
{'S1': 12, 'S2': 12, 'V1': 480, 'V2': 480}
{'S1': 12, 'S2': 12, 'V1': 480, 'V2': 480}
{'S1': 12, 'S2': 12, 'V1': 480, 'V2': 480}
{'S1': 12, 'S2': 12, 'V1': 480, 'V2': 480}
{'S1': 12, 'S2': 12, 'V1': 480, 'V2': 480}
{'S1': 12, 'S2': 12, 'V1': 480, 'V2': 480}
{'S1': 12, 'S2': 12, 'V1': 480, 'V2': 480}
{'S1': 12, 'S2': 12, 'V1': 480, 'V2': 480}
{'S1': 12, 'S2': 12, 'V1': 480, 'V2': 480}
{'S1': 12, 'S2': 12, 'V1': 480, 'V2': 480}
{'S1': 12, 'S2': 12, 'V1': 480, 'V2': 480}
{'S1': 12, 'S2': 12, 'V1': 480, 'V2': 480}
{'S1': 12, 'S2': 12, 'V1': 480, 'V2': 480}
{'S1': 12, 'S2': 12, 'V1': 480, 'V2': 480}
{'S1': 12, 'S2': 12, 'V1': 480, 'V2': 480}
{'S1': 12, 'S2': 12, 'V1': 480, 'V2': 480}
{'S1': 12, 'S2': 12, 'V1': 480, 'V2': 480}
{'S1': 12, 'S2': 12, 'V1': 480, 'V2': 480}
{'S1': 12, 'S2': 12, 'V1': 480, 'V2': 480}
{'S1': 12, 'S2': 12, 'V1': 480, 'V2': 480}
